Time,Folder,Filename,Official,All,Highlights
2018-09-22-130011,Official,095.jpg,,,
2018-09-22-130011,Photoshop,image00002ff.jpg,x,x,
2018-09-22-130017,Official,096.jpg,x,x,
2018-09-22-130035,Official,097.jpg,x,x,
2018-09-22-130117,Official,098.jpg,x,x,
2018-09-22-130121,Official,099.jpg,,,
2018-09-22-130123,Official,100.jpg,,,
2018-09-22-130215,Official,101.jpg,x,x,
2018-09-22-130224,Official,102.jpg,,,
2018-09-22-130248,Official,103.jpg,,,
2018-09-22-130301,Official,104.jpg,,,
2018-09-22-130315,Official,105.jpg,x,x,
2018-09-22-130836,Official,106.jpg,x,x,
2018-09-22-130851,Official,107.jpg,x,x,
2018-09-22-130933,Official,108.jpg,x,x,
2018-09-22-130954,Official,109.jpg,x,x,
2018-09-22-130958,Official,110.jpg,,,
2018-09-22-131002,Official,111.jpg,x,x,
2018-09-22-131137,Official,112.jpg,x,x,
2018-09-22-131142,Official,113.jpg,x,x,
2018-09-22-131154,Official,114.jpg,x,x,
2018-09-22-131157,Official,115.jpg,x,x,
2018-09-22-131205,Official,116.jpg,,,
2018-09-22-131227,Official,117.jpg,x,x,
2018-09-22-131239,Official,118.jpg,x,x,
2018-09-22-131257,Official,119.jpg,,,
2018-09-22-131521,Official,120.jpg,,,
2018-09-22-131543,Official,121.jpg,x,x,
2018-09-22-131652,Official,122.jpg,x,x,
2018-09-22-131742,Official,123.jpg,,,
2018-09-22-131829,,272016965.jpg,,x,
2018-09-22-131837,,272016953.jpg,,x,
2018-09-22-132039,Official,124.jpg,,,
2018-09-22-132254,Official,125.jpg,x,x,
2018-09-22-132339,Official,126.jpg,x,x,
2018-09-22-132349,Official,127.jpg,x,x,
2018-09-22-132428,Official,128.jpg,x,x,
2018-09-22-132455,Scott,DSC_0046.JPG,,x,
2018-09-22-132507,Official,129.jpg,x,x,
2018-09-22-132517,Official,130.jpg,x,x,
2018-09-22-132530,Official,131.jpg,x,x,
2018-09-22-132535,Scott,DSC_0051.JPG,,x,
2018-09-22-132538,Official,132.jpg,x,x,
2018-09-22-132544,Official,133.jpg,x,x,
2018-09-22-132557,Official,134.jpg,x,x,
2018-09-22-132628,Official,135.jpg,x,x,
2018-09-22-132634,Official,136.jpg,x,x,
2018-09-22-125817,,272030811.jpg,,x,
2018-09-22-125817,Scott,DSC_0026.JPG,,x,
2018-09-22-132713,Official,137.jpg,x,x,
2018-09-22-132730,Official,138.jpg,x,x,
2018-09-22-124419,Scott,DSC_0014.JPG,,x,
2018-09-22-124423,Scott,DSC_0015p.jpg,,x,
2018-09-22-132752,Official,139.jpg,x,x,
2018-09-22-132848,Official,140.jpg,x,x,
2018-09-22-132850,Official,141.jpg,x,x,
2018-09-22-132852,Official,142.jpg,x,x,
2018-09-22-133004,Official,143.jpg,x,x,
2018-09-22-133009,Official,144.jpg,x,x,
2018-09-22-133013,Official,145.jpg,x,x,
2018-09-22-125516,Scott,DSC_0018.JPG,,x,
2018-09-22-125524,Scott,DSC_0019.JPG,,x,
2018-09-22-125551,Scott,DSC_0022.JPG,,x,
2018-09-22-125603,,272033360.jpg,,x,
